edit_index,doc_name,node_ix_src,node_ix_tgt,text_src,text_tgt,a,b,c,gold,node_type_src,node_type_tgt,parent_node_src,parent_node_tgt,s_index
0,10-ARR,,"10-ARR_v1_13@0==90,121",,", focusing on different aspects","Delete,Claim","Delete,Claim","Delete,Claim","Delete,Claim",ss,ss,,10-ARR_v1_13@0,37
1,10-ARR,"10-ARR_v2_5@0==0,35",,"Across different counseling styles,",,"Add,Clarity","Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence",ss,ss,10-ARR_v2_5@0,,22
2,10-ARR,"10-ARR_v2_5@2==0,29",,"If carried out the right way,",,"Add,Claim","Add,Claim","Add,Claim","Add,Claim",ss,ss,10-ARR_v2_5@2,,23
3,10-ARR,"10-ARR_v2_5@2==78,119",,and facilitates further self-exploration.,,"Add,Claim","Add,Claim","Add,Claim","Add,Claim",ss,ss,10-ARR_v2_5@2,,23
4,10-ARR,"10-ARR_v2_5@6==0,5",,"Thus,",,"Add,Clarity","Add,Clarity","Add,Clarity","Add,Clarity",ss,ss,10-ARR_v2_5@6,,25
5,10-ARR,"10-ARR_v2_5@7==239,269",,based on commonsense knowledge,,"Add,Claim","Add,Fact/Evidence","Add,Claim","Add,Claim",ss,ss,10-ARR_v2_5@7,,26
6,10-ARR,,"10-ARR_v1_4@3==0,66",,"It requires the counselor to perceive the other's need or problem,","Delete,Claim","Delete,Claim","Delete,Claim","Delete,Claim",ss,ss,,10-ARR_v1_4@3,23
7,10-ARR,,"10-ARR_v1_4@4==92,119",,"(Miller and Rollnick, 2012)","Delete,Fact/Evidence","Delete,Fact/Evidence","Delete,Fact/Evidence","Delete,Fact/Evidence",ss,ss,,10-ARR_v1_4@4,25
8,10-ARR,"10-ARR_v2_7@2==151,167","10-ARR_v1_6@2==151,164",a predefined set,a defined set,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_7@2,10-ARR_v1_6@2,35
9,10-ARR,"10-ARR_v2_12@7==0,25","10-ARR_v1_12@5==0,10",We address a similar task,"Similarly,","Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,10-ARR_v2_12@7,10-ARR_v1_12@5,36
