doc_name,node_ix_src,text_src,label,edits,edits_count
110-ARR,110-ARR_v1_review1_3@1,The performance for some tasks and some models increased significantly but this is not true in all cases.,Weakness,110-ARR_v2_67@2===nan;110-ARR_v2_67@3===nan;110-ARR_v2_67@4===nan;110-ARR_v2_67@5===nan,4
110-ARR,110-ARR_v1_review1_3@3,But it does not explain all results (like Bert small better than large even after intermediate training).,Weakness,,0
110-ARR,110-ARR_v1_review1_3@4,The authors did also not comment on the difference of behaviour of BERT and Roberta models.,Edit suggestion_implicit,,0
110-ARR,110-ARR_v1_review1_4@1,One table with all the results - before and after intermediate training would help readers to observe differences.,Edit suggestion_implicit,,0
25-ARR,25-ARR_v1_review1_3@1,"1. From an experimental design perspective, the experimental design suggested by the authors has been used widely for open-domain dialogue systems with the caveat of it not being done in live interactive settings. 
",Weakness,,0
25-ARR,25-ARR_v1_review1_3@2,2. The authors have not referenced those works that use continuous scales in the evaluation and there is a large bunch of literature missing from the paper.,Weakness,25-ARR_v2_17@0===25-ARR_v1_17@0,1
25-ARR,25-ARR_v1_review1_3@4,3. Lack of screenshots of the experimental interface,Weakness,,0
25-ARR,25-ARR_v1_review1_4@1,"Comments: 1. Please add screenshots of the interface that was designed. 
",Edit suggestion_implicit,,0
25-ARR,25-ARR_v1_review1_4@2,"2. Repetition of the word Tables in Line 549 3. In Appendix A.3, the GLEU metric is reference as GLUE.
",Weakness,,0
25-ARR,25-ARR_v1_review1_4@5,There is no supporting explanation about it.,Weakness,,0
25-ARR,25-ARR_v1_review1_4@7,"3. With regards to the model section, is there any particular reason that there was an emphasis on choosing retriever-based transformer models over generative models?",Weakness,,0
25-ARR,25-ARR_v1_review1_4@9,"4. In figure 6, what are the models in the last two columns lan_model_p and lan_model? 
",Weakness,,0
25-ARR,25-ARR_v1_review1_4@10,"Missing References: 1. Howcroft, David M., Anja Belz, Miruna-Adriana Clinciu, Dimitra Gkatzia, Sadid A. Hasan, Saad Mahamood, Simon Mille, Emiel van Miltenburg, Sashank Santhanam, and Verena Rieser.",Edit suggestion_implicit,,0
25-ARR,25-ARR_v1_review1_4@14,"2. Santhanam, S. and Shaikh, S., 2019.",Edit suggestion_implicit,,0
25-ARR,25-ARR_v1_review1_4@17,"3. Santhanam, S., Karduni, A. and Shaikh, S., 2020, April.",Edit suggestion_implicit,,0
25-ARR,25-ARR_v1_review1_4@20,"4. Novikova, J., Dušek, O. and Rieser, V., 2018.",Edit suggestion_implicit,,0
25-ARR,25-ARR_v1_review1_4@23,"5. Li, M., Weston, J. and Roller, S., 2019.",Edit suggestion_implicit,,0
39-ARR,39-ARR_v1_review1_3@5,"Thus the method is not totally using pure ""unlabelled"" target language data as the paper claims.",Weakness,39-ARR_v2_97@0===39-ARR_v1_94@0,1
39-ARR,39-ARR_v1_review1_3@7,"To make fair comparisons with the baselines, I think baseline methods BERT-CRF in section 3.2 and the BERT-CRF+MLM in 3.4 should also see $e_{i}$ labels.  ",Edit suggestion_explicit,,0
39-ARR,39-ARR_v1_review1_3@8,"2. Also concerning $e_{i}$ in weakness point 1 above, it is not known how $e_{i}$ and $e_{i}$'s distributions look like at all.",Weakness,,0
39-ARR,39-ARR_v1_review1_3@9,"I could only guess $e_{i}$ is 0,1 binary variables? Since all SRC and TRG data comes from Cross-Lingual Event Detection datasets, maybe most samples do have an event trigger and thus most $e_{i}$s equal 1.  3. It is confusing in line 339: s$\sim$p(s) and t$\sim$p(t). Do p(s) and p(t) here the ones calculated and updated in equation (6-7) in lines 369-370?",Edit suggestion_explicit,,0
39-ARR,39-ARR_v1_review1_3@10,"Or maybe it is fixed since each sample already has a ground truth $e_{i}$. If it is the former case, I think it might be a little weird to predict the p(s) and p(t) which the paper uses to draw samples, because p(s) and p(t) are already given since $e_{i}$s are known for all samples?  ",Weakness,,0
39-ARR,39-ARR_v1_review1_3@11,4. The authors did not justify why Optimal Transport (OT) is used and did not elaborate on what are OT's advantages.,Weakness,,0
39-ARR,39-ARR_v1_review1_3@14,"It is worth comparing OT with say, Euclidean distance, KL divergence as a side experiment.",Edit suggestion_implicit,,0
39-ARR,39-ARR_v1_review1_3@16,5. It is not known if the OT sample selection process in 2.4.3 only runs once or runs iteratively as EP module is updated during the training steps.,Weakness,,0
39-ARR,39-ARR_v1_review1_3@18,It will be much easier for readers to know the whole process if more details and a flow chart can be added.,Edit suggestion_implicit,39-ARR_v2_65@0===nan;39-ARR_v2_65@1===nan;39-ARR_v2_66@0===nan,3
39-ARR,39-ARR_v1_review1_3@22,Why only LD benefits from seeing examples containing events?,Weakness,,0
